x coord,y coord,z coord,rho,u,v,w
0.916667,0.083333,0.000000,0.998060,0.000868,0.000872,0.000000
0.950000,0.083333,0.000000,0.998298,0.000212,0.000631,0.000000
0.983333,0.083333,0.000000,0.998115,0.000134,0.000266,0.000000
0.016667,0.116667,0.000000,0.998166,-0.000000,0.000021,0.000000
0.050000,0.116667,0.000000,0.997913,-0.000303,0.000347,0.000000
0.083333,0.116667,0.000000,0.998150,-0.001001,0.000314,0.000000
0.116667,0.116667,0.000000,0.997928,-0.001901,0.001459,0.000000
0.150000,0.116667,0.000000,0.998086,-0.003823,0.002701,0.000000
0.183333,0.116667,0.000000,0.997936,-0.006196,0.004077,0.000000
0.216667,0.116667,0.000000,0.998012,-0.009564,0.005567,0.000000
0.250000,0.116667,0.000000,0.997899,-0.013321,0.006891,0.000000
0.283333,0.116667,0.000000,0.997895,-0.017577,0.008033,0.000000
0.316667,0.116667,0.000000,0.997781,-0.021691,0.008586,0.000000
0.350000,0.116667,0.000000,0.997716,-0.025551,0.008610,0.000000
0.383333,0.116667,0.000000,0.997602,-0.028775,0.007926,0.000000
0.416667,0.116667,0.000000,0.997529,-0.031338,0.006778,0.000000
0.450000,0.116667,0.000000,0.997450,-0.033163,0.005146,0.000000
0.483333,0.116667,0.000000,0.997430,-0.034250,0.003277,0.000000
0.516667,0.116667,0.000000,0.997413,-0.034667,0.001140,0.000000
0.550000,0.116667,0.000000,0.997485,-0.034334,-0.001067,0.000000
0.583333,0.116667,0.000000,0.997531,-0.033390,-0.003394,0.000000
0.616667,0.116667,0.000000,0.997693,-0.031635,-0.005630,0.000000
0.650000,0.116667,0.000000,0.997757,-0.029285,-0.007775,0.000000
0.683333,0.116667,0.000000,0.997967,-0.026033,-0.009512,0.000000
0.716667,0.116667,0.000000,0.997966,-0.022256,-0.010710,0.000000
0.750000,0.116667,0.000000,0.998159,-0.017634,-0.010936,0.000000
0.783333,0.116667,0.000000,0.998022,-0.012895,-0.009991,0.000000
0.816667,0.116667,0.000000,0.998191,-0.007944,-0.007767,0.000000
0.850000,0.116667,0.000000,0.997942,-0.004032,-0.004548,0.000000
0.883333,0.116667,0.000000,0.998160,-0.001207,-0.001588,0.000000
0.916667,0.116667,0.000000,0.997869,-0.000166,0.000907,0.000000
